,process,region,binning,color,process_type,scale,variation,source_filename,source_histname,alias,title,combine_idx,direction,syst_type,shapes,variation_alias,lnN
38,16_signalRSGluon2000,fwd2bPass,default,1,SIGNAL,1.0,jes,/afs/cern.ch/user/m/mmorris/BackgroundEstimation/CMSSW_10_6_14/src/BstarToTW_CMSDAS2023_BackgroundEstimation/rootfiles/TTbarAllHad16_signalRSGluon2000.root,MttvsMtfwd2bPassJESup,16_signalRSGluon2000,g_{RS} (3 TeV),,Up,shapes,1.0,JES,
39,16_signalRSGluon2000,fwd2bPass,default,1,SIGNAL,1.0,jes,/afs/cern.ch/user/m/mmorris/BackgroundEstimation/CMSSW_10_6_14/src/BstarToTW_CMSDAS2023_BackgroundEstimation/rootfiles/TTbarAllHad16_signalRSGluon2000.root,MttvsMtfwd2bPassJESdown,16_signalRSGluon2000,g_{RS} (3 TeV),,Down,shapes,1.0,JES,
40,16_signalRSGluon2000,fwd2bPass,default,1,SIGNAL,1.0,jer,/afs/cern.ch/user/m/mmorris/BackgroundEstimation/CMSSW_10_6_14/src/BstarToTW_CMSDAS2023_BackgroundEstimation/rootfiles/TTbarAllHad16_signalRSGluon2000.root,MttvsMtfwd2bPassJERup,16_signalRSGluon2000,g_{RS} (3 TeV),,Up,shapes,1.0,JER,
41,16_signalRSGluon2000,fwd2bPass,default,1,SIGNAL,1.0,jer,/afs/cern.ch/user/m/mmorris/BackgroundEstimation/CMSSW_10_6_14/src/BstarToTW_CMSDAS2023_BackgroundEstimation/rootfiles/TTbarAllHad16_signalRSGluon2000.root,MttvsMtfwd2bPassJERdown,16_signalRSGluon2000,g_{RS} (3 TeV),,Down,shapes,1.0,JER,
42,16_signalRSGluon2000,fwd2bPass,default,1,SIGNAL,1.0,nominal,/afs/cern.ch/user/m/mmorris/BackgroundEstimation/CMSSW_10_6_14/src/BstarToTW_CMSDAS2023_BackgroundEstimation/rootfiles/TTbarAllHad16_signalRSGluon2000.root,MttvsMtfwd2bPass,16_signalRSGluon2000,g_{RS} (3 TeV),,,,,,
43,16_signalRSGluon2500,fwd2bPass,default,1,SIGNAL,1.0,lumi,/afs/cern.ch/user/m/mmorris/BackgroundEstimation/CMSSW_10_6_14/src/BstarToTW_CMSDAS2023_BackgroundEstimation/rootfiles/TTbarAllHad16_signalRSGluon2500.root,MttvsMtfwd2bPass,16_signalRSGluon2500,g_{RS} (3 TeV),,,lnN,,,1.018
44,16_signalRSGluon2500,fwd2bPass,default,1,SIGNAL,1.0,pileup,/afs/cern.ch/user/m/mmorris/BackgroundEstimation/CMSSW_10_6_14/src/BstarToTW_CMSDAS2023_BackgroundEstimation/rootfiles/TTbarAllHad16_signalRSGluon2500.root,MttvsMtfwd2bPassPILEUPup,16_signalRSGluon2500,g_{RS} (3 TeV),,Up,shapes,1.0,PILEUP,
45,16_signalRSGluon2500,fwd2bPass,default,1,SIGNAL,1.0,pileup,/afs/cern.ch/user/m/mmorris/BackgroundEstimation/CMSSW_10_6_14/src/BstarToTW_CMSDAS2023_BackgroundEstimation/rootfiles/TTbarAllHad16_signalRSGluon2500.root,MttvsMtfwd2bPassPILEUPdown,16_signalRSGluon2500,g_{RS} (3 TeV),,Down,shapes,1.0,PILEUP,
46,16_signalRSGluon2500,fwd2bPass,default,1,SIGNAL,1.0,pdf,/afs/cern.ch/user/m/mmorris/BackgroundEstimation/CMSSW_10_6_14/src/BstarToTW_CMSDAS2023_BackgroundEstimation/rootfiles/TTbarAllHad16_signalRSGluon2500.root,MttvsMtfwd2bPassPDFup,16_signalRSGluon2500,g_{RS} (3 TeV),,Up,shapes,1.0,PDF,
47,16_signalRSGluon2500,fwd2bPass,default,1,SIGNAL,1.0,pdf,/afs/cern.ch/user/m/mmorris/BackgroundEstimation/CMSSW_10_6_14/src/BstarToTW_CMSDAS2023_BackgroundEstimation/rootfiles/TTbarAllHad16_signalRSGluon2500.root,MttvsMtfwd2bPassPDFdown,16_signalRSGluon2500,g_{RS} (3 TeV),,Down,shapes,1.0,PDF,
